,days_over,return_period
1362,0.0,1
1363,0.0,1
1364,2.0,6
1365,0.0,1
1366,0.0,1
1367,0.0,1
1368,0.0,1
1369,0.0,1
1370,0.0,1
1371,0.0,1
1372,0.0,1
1373,1.0,3
1374,0.0,1
1375,3.0,12
1376,0.0,1
1377,5.0,33
1378,0.0,1
1379,3.0,12
1380,0.0,1
1381,3.0,12
1382,0.0,1
1383,2.0,6
1384,0.0,1
1385,1.0,3
1386,0.0,1
1387,0.0,1
1388,0.0,1
1389,0.0,1
1390,5.0,33
1391,0.0,1
1392,0.0,1
1393,0.0,1
1394,0.0,1
1395,1.0,3
1396,0.0,1
1397,0.0,1
1398,0.0,1
1399,0.0,1
1400,1.0,3
1401,0.0,1
1402,0.0,1
1403,0.0,1
1404,0.0,1
1405,0.0,1
1406,0.0,1
1407,0.0,1
1408,0.0,1
1409,0.0,1
1410,0.0,1
1411,1.0,3
1412,3.0,12
1413,0.0,1
1414,1.0,3
1415,0.0,1
1416,1.0,3
1417,5.0,33
1418,0.0,1
1419,0.0,1
1420,0.0,1
1421,0.0,1
1422,0.0,1
1423,0.0,1
1424,1.0,3
1425,0.0,1
1426,2.0,6
1427,0.0,1
1428,0.0,1
1429,5.0,33
1430,0.0,1
1431,1.0,3
1432,0.0,1
1433,3.0,12
1434,2.0,6
1435,0.0,1
1436,0.0,1
1437,0.0,1
1438,0.0,1
1439,1.0,3
1440,1.0,3
1441,1.0,3
1442,1.0,3
1443,0.0,1
1444,1.0,3
1445,0.0,1
1446,0.0,1
1447,0.0,1
1448,0.0,1
1449,0.0,1
1450,0.0,1
1451,0.0,1
1452,0.0,1
1453,1.0,3
1454,0.0,1
1455,0.0,1
1456,1.0,3
1457,0.0,1
1458,0.0,1
1459,0.0,1
1460,0.0,1
1461,0.0,1
1462,0.0,1
1463,1.0,3
1464,0.0,1
1465,0.0,1
1466,0.0,1
1467,1.0,3
1468,0.0,1
1469,0.0,1
1470,1.0,3
1471,0.0,1
1472,0.0,1
1473,2.0,6
1474,0.0,1
1475,0.0,1
1476,2.0,6
1477,0.0,1
1478,1.0,3
1479,0.0,1
1480,0.0,1
1481,0.0,1
1482,3.0,12
1483,0.0,1
1484,2.0,6
1485,1.0,3
1486,0.0,1
1487,0.0,1
1488,0.0,1
1489,0.0,1
1490,0.0,1
1491,2.0,6
1492,0.0,1
1493,0.0,1
1494,0.0,1
1495,0.0,1
1496,0.0,1
1497,0.0,1
1498,0.0,1
1499,0.0,1
1500,0.0,1
1501,4.0,21
1502,1.0,3
1503,0.0,1
1504,4.0,21
1505,1.0,3
1506,0.0,1
1507,0.0,1
1508,1.0,3
1509,3.0,12
1510,0.0,1
1511,1.0,3
1512,0.0,1
1513,0.0,1
1514,4.0,21
1515,0.0,1
1516,1.0,3
1517,0.0,1
1518,0.0,1
1519,0.0,1
1520,0.0,1
1521,0.0,1
1522,0.0,1
1523,0.0,1
1524,0.0,1
1525,0.0,1
1526,0.0,1
1527,0.0,1
1528,0.0,1
1529,0.0,1
1530,0.0,1
1531,1.0,3
1532,0.0,1
1533,0.0,1
1534,0.0,1
1535,0.0,1
1536,3.0,12
1537,1.0,3
1538,0.0,1
1539,0.0,1
1540,0.0,1
1541,0.0,1
1542,0.0,1
1543,0.0,1
1544,0.0,1
1545,0.0,1
1546,0.0,1
1547,0.0,1
1548,0.0,1
1549,1.0,3
1550,0.0,1
1551,2.0,6
1552,4.0,21
1553,0.0,1
1554,0.0,1
1555,0.0,1
1556,0.0,1
1557,0.0,1
1558,0.0,1
1559,0.0,1
1560,0.0,1
1561,0.0,1
1562,0.0,1
1563,2.0,6
1564,0.0,1
1565,0.0,1
1566,0.0,1
1567,1.0,3
1568,0.0,1
1569,0.0,1
1570,0.0,1
1571,0.0,1
1572,0.0,1
1573,0.0,1
1574,0.0,1
1575,0.0,1
1576,0.0,1
1577,0.0,1
1578,1.0,3
1579,0.0,1
1580,5.0,33
1581,0.0,1
1582,1.0,3
1583,4.0,21
1584,0.0,1
1585,0.0,1
1586,0.0,1
1587,0.0,1
1588,0.0,1
1589,3.0,12
1590,0.0,1
1591,11.0,285
1592,0.0,1
1593,0.0,1
1594,0.0,1
1595,1.0,3
1596,0.0,1
1597,2.0,6
1598,2.0,6
1599,0.0,1
1600,0.0,1
1601,2.0,6
1602,0.0,1
1603,1.0,3
1604,0.0,1
1605,0.0,1
1606,0.0,1
1607,0.0,1
1608,1.0,3
1609,0.0,1
1610,0.0,1
1611,2.0,6
1612,0.0,1
1613,0.0,1
1614,0.0,1
1615,0.0,1
1616,0.0,1
1617,2.0,6
1618,0.0,1
1619,0.0,1
1620,0.0,1
1621,3.0,12
1622,3.0,12
1623,0.0,1
1624,4.0,21
1625,0.0,1
1626,0.0,1
1627,0.0,1
1628,1.0,3
1629,0.0,1
1630,0.0,1
1631,0.0,1
1632,1.0,3
1633,0.0,1
1634,0.0,1
1635,0.0,1
1636,0.0,1
1637,0.0,1
1638,0.0,1
1639,0.0,1
1640,0.0,1
1641,8.0,108
1642,0.0,1
1643,0.0,1
1644,2.0,6
1645,0.0,1
1646,0.0,1
1647,2.0,6
1648,7.0,75
1649,0.0,1
1650,0.0,1
1651,0.0,1
1652,0.0,1
1653,1.0,3
1654,0.0,1
1655,0.0,1
1656,0.0,1
1657,6.0,52
1658,0.0,1
